Identifier,Edition Statement,Place of Publication,Date of Publication,Publisher,Title,Author,Contributors,Corporate Author,Corporate Contributors,Former owner,Engraver,Issuance type,Flickr URL,Shelfmarks
001564165,,Boulogne-sur-Mer,1897-1900,,Recueil historique du Boulonnais-notices,HAIGNERÉ,ROSNY,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001564165,British Library HMNTS 10168.k.22.
001564655,,Gloucester,[1880],E. Nest,A Guide to the Cathedral Church of Gloucester ... Second edition revised and corrected up to the present time,HAINES,Waller,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001564655,British Library HMNTS 010358.g.2.
001565253,,Pest,1866 [1866,,Orszaggyülési Emlékkönyv. 1866 ... H. K. felelös szerkesztö,HAJNIK,FARKAS,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001565253,British Library HMNTS 9315.g.26.
001565338,,London,1878,,Paris Originals ... With ... etchings by L. Richeton,HAKE,RICHETON,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001565338,British Library HMNTS 12274.b.8.
001565345,,London,1884,Remington & Co.,The New Dance of Death,HAKE,LEFEBRE,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001565345,British Library HMNTS 12636.r.5.
001565412,,pp. viii. 155. E. Mathews & J. Lane: London,,,The Poems of T. G. Hake. Selected,Hake,THOMPSON,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001565412,British Library HMNTS 011652.l.8.
001565519,,Edinburgh,1885-90,E. & G. Goldsmid,The principal Navigations,HAKLUYT,GOLDSMID,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001565519,British Library HMNTS 10027.k.7.
001565528,,London,1880,De La Rue & Co.,Voyages of the Elizabethan Seamen to America. Thirteen original narratives from the collection of Hakluyt,Hakluyt,Payne,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001565528,British Library HMNTS 10408.ee.12.
001565531,,Oxford,1893-1900,Clarendon Press,Voyages of the Elizabethan Seamen to America ... Edited by E. J. Payne ... Second edition: Principall Navigations,Hakluyt,Payne,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001565531,British Library HMNTS 10408.de.28.
001565534,,Oxford,1893 [reissued 1907],Clarendon Press,Voyages of the Elizabethan Seamen to America ... Edited by Edward John Payne ... Second edition. (With additional notes,Hakluyt,BEAZLEY,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001565534,British Library HMNTS 10410.p.5.
001565888,,Halberstadt,1839,,Incerti auctoris saec. XIII. chronicon Halberstadense,,SCHATZ,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001565888,British Library HMNTS 10250.dd.2.
001566648,,Boston [Mass.],1882,D. Lothrop & Co.,A Family Flight over Egypt and Syria,HALE,HALE,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001566648,British Library HMNTS 10097.dd.29.
001567743,,Paris,1888,,Notes et Souvenirs. De Mai à Décembre 1871. [Illustrated by Jules Girardet.],Halévy,GIRARDET,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001567743,British Library HMNTS 9225.m.13.
001568039,,London,1893,Alexander & Shepheard,“The Holy Land of Punt.” Racial Dwarfs in the Atlas and the Pyrenees,HALIBURTON,SAYCE,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001568039,British Library HMNTS 10007.bb.17.
001568080,,Dublin,1882,A. Thom & Co.,The Scandinavian Kingdom of Dublin ... Edited,HALIDAY,PRENDERGAST,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001568080,British Library HMNTS 9508.ee.1.
001568420,,London,[1897.],J. Henderson,Humanity: a sporting and military story from the ... drama by S. Vane. Novelized by A. D. Hall,HALL,Vane,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001568420,British Library HMNTS 012628.e.73.
001568635,,London,1850,,Pilgrimages to English Shrines ... With notes and illustrations by F. W. Fairholt,Hall,FAIRHOLT,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001568635,British Library HMNTS 010349.i.44.
001568636,,London,1853,,Second series: Pilgrimages to English Shrines ... With notes and illustrations by F. W. Fairholt,Hall,FAIRHOLT,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001568636,British Library HMNTS 010349.i.45.
